# nonletter-usage migration ledger — the SHIPPED rule vs the three retired rules
# corpora=1504

## fleet ledger
retired_rule	total	preserved	coalesced	intentionally-moved	lost
punct.adjacency-anomaly	9354	1252	256	7846	0
lex.punct-only-token	4481	393	0	4088	0
punct.spacing-anomaly	27024	231	1418	25375	0
ALL	40859	1876	1674	37309	0

new_rule_findings_at_defaults	13709
lost_share	0.000000

## obligation (a) — adjacency findings that moved because sequence k = 2
# an old adjacency finding the rule declines at k=2 but WOULD emit at k=8:
# the pairing was already seen 2..7 times in this translation.
k2_specific_movers	908
share_of_adjacency_moved	0.115728
corpus	sid	pattern	context
punct.adjacency-anomaly	intentionally-moved	WA-kmr-IQ-badini-reg	MAT 4:3	!۔	…ی ، بێژە ڤان بەران ببنە نان!۔)…
punct.adjacency-anomaly	intentionally-moved	WA-kmr-IQ-badini-reg	MAT 16:22	:،	… ڤەدەر كر و پاشڤە بر و گۆتێ:، دویری تە!  ئەی پەروەردگار…
punct.adjacency-anomaly	intentionally-moved	WA-kmr-IQ-badini-reg	MRK 2:25	،؟	…فتینە هەوجەییێ و برسی بووین،؟…
punct.adjacency-anomaly	intentionally-moved	WA-kmr-IQ-badini-reg	MRK 9:25	:!	… ل گیانێ پیس حەیتاند و گۆتێ:! هەی گیانێ كەڕ و لال، ئەز …
punct.adjacency-anomaly	intentionally-moved	WA-kmr-IQ-badini-reg	MRK 10:2	،:	…دا تاقی بکەن  پرسیار ژێ كرن،: (ئەرێ رەوایە مێر  ژنا خۆ …
punct.adjacency-anomaly	preserved	WA-pa-ulb	ZEC 4:7	!।	…ਇਹ ਦੇ ਲਈ ਕਿਰਪਾ ਹੋਵੇ, ਕਿਰਪਾ !।…
lex.punct-only-token	intentionally-moved	WA-pa-ulb	NUM 3:47	(	…ਰ ਸਥਾਨ ਦੇ ਸ਼ੇਕਲ ਅਨੁਸਾਰ ਲਵੀਂ ( ਅਰਥਾਤ ਇੱਕ ਸ਼ੇਕਲ ਵੀਹ ਗੇਰਾਹ ਦ…
lex.punct-only-token	intentionally-moved	WA-pa-ulb	NUM 34:2	(	…ਂ ਕਨਾਨ ਦੇਸ ਵਿੱਚ ਪ੍ਰਵੇਸ਼ ਕਰੋ ( ਉਹ ਦੇਸ ਜਿਹੜਾ ਤੁਹਾਡੀ ਵਿਰਾਸਤ…
lex.punct-only-token	intentionally-moved	WA-pa-ulb	JDG 8:24	(	…ਚੋਂ ਵਾਲੀਆਂ ਮੈਨੂੰ ਦੇ ਦਿਉ ।" ( ਕਿਉਂ ਜੋ ਉਹ ਵਾਲੀਆਂ ਸੋਨੇ ਦੀਆ…
lex.punct-only-token	intentionally-moved	WA-pa-ulb	2SA 21:2	(	…ਨੂੰ ਸੱਦ ਕੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ ( ਇਹ ਇਸਰਾਏਲ ਦੀ ਸੰਤਾਨ ਵਿੱਚੋਂ …
lex.punct-only-token	intentionally-moved	WA-pa-ulb	2KI 7:13	(	…ੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਘੱਲ ਕੇ ਵੇਖੀਏ ( ਉਹ ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਦਲ ਦੀ ਤਰ…

## per corpus
corpus	new_findings	adj_total	adj_preserved	adj_coalesced	adj_moved	adj_lost	punctonly_total	punctonly_preserved	punctonly_coalesced	punctonly_moved	punctonly_lost	spacing_total	spacing_preserved	spacing_coalesced	spacing_moved	spacing_lost	k2_movers
WA-ach-SS-acholi-reg	16	4	1	0	3	0	1	0	0	1	0	9	0	0	9	0	0
WA-acq-reg	16	13	3	2	8	0	5	2	0	3	0	12	0	0	12	0	0
WA-am-ulb	57	57	8	0	49	0	30	0	0	30	0	83	1	0	82	0	2
WA-amo-reg	9	4	0	0	4	0	1	1	0	0	0	12	0	0	12	0	2
WA-aoa-reg	17	24	3	0	21	0	4	2	0	2	0	19	0	3	16	0	2
WA-arq-reg	23	10	1	1	8	0	16	1	0	15	0	22	2	1	19	0	6
WA-as-ulb	23	14	4	0	10	0	2	2	0	0	0	168	1	6	161	0	0
WA-asa-reg	25	25	4	1	20	0	2	2	0	0	0	12	0	0	12	0	6
WA-atg-reg	19	18	3	0	15	0	0	0	0	0	0	24	0	1	23	0	7
WA-auh-reg	14	5	3	0	2	0	0	0	0	0	0	19	0	1	18	0	1
WA-ayn-ulb	10	19	2	0	17	0	2	1	0	1	0	34	0	1	33	0	2
WA-bap-x-rai-reg	12	6	3	0	3	0	0	0	0	0	0	15	0	2	13	0	2
WA-bbm-reg	15	0	0	0	0	0	0	0	0	0	0	19	0	2	17	0	0
WA-bds-reg	22	61	5	1	55	0	7	0	0	7	0	20	0	2	18	0	6
WA-bem-reg	9	6	2	0	4	0	0	0	0	0	0	19	0	2	17	0	4
WA-bez-reg	12	27	3	0	24	0	10	2	0	8	0	6	0	0	6	0	6
WA-bgd-x-pawari-reg	21	13	7	1	5	0	0	0	0	0	0	17	1	1	15	0	2
WA-bil-reg	26	29	6	1	22	0	1	1	0	0	0	9	0	1	8	0	1
WA-bji-reg	9	4	1	0	3	0	0	0	0	0	0	44	0	2	42	0	0
WA-bkr-x-pajuepat-reg	23	33	7	0	26	0	2	1	0	1	0	28	1	6	21	0	2
WA-bn-ulb	30	20	3	1	16	0	0	0	0	0	0	115	0	7	108	0	6
WA-bnx-x-kasenga-reg	16	33	5	0	28	0	4	1	0	3	0	13	0	1	12	0	0
WA-bnx-x-mikebwe-reg	21	63	9	1	53	0	24	4	0	20	0	34	0	4	30	0	4
WA-bsj-reg	11	19	2	0	17	0	0	0	0	0	0	11	0	0	11	0	0
WA-btm-reg	16	24	3	0	21	0	0	0	0	0	0	37	1	0	36	0	2
WA-bwc-reg	18	20	5	1	14	0	0	0	0	0	0	34	0	1	33	0	2
WA-bwg-reg	24	35	5	1	29	0	4	1	0	3	0	28	0	2	26	0	3
WA-byi-reg	13	24	3	0	21	0	4	1	0	3	0	2	0	2	0	0	0
WA-byn-reg	32	23	2	0	21	0	6	5	0	1	0	68	4	5	59	0	2
WA-ceb-ulb	32	20	4	2	14	0	16	0	0	16	0	8	1	0	7	0	0
WA-ckb-reg	13	6	0	0	6	0	0	0	0	0	0	70	0	3	67	0	0
WA-coh-x-jibana-reg	18	8	2	0	6	0	0	0	0	0	0	12	0	2	10	0	0
WA-coh-x-kauma-reg	28	18	5	0	13	0	0	0	0	0	0	13	0	0	13	0	2
WA-cwe-reg	23	31	4	0	27	0	1	1	0	0	0	8	0	1	7	0	0
WA-dav-reg	16	22	3	1	18	0	2	0	0	2	0	10	0	0	10	0	11
WA-dgo-x-dogripun-reg	19	31	0	1	30	0	3	1	0	2	0	56	0	3	53	0	2
WA-dig-reg	17	42	2	2	38	0	1	1	0	0	0	29	0	4	25	0	11
WA-dje-reg	44	62	6	2	54	0	24	6	0	18	0	17	0	4	13	0	5
WA-doe-reg	19	32	5	0	27	0	1	0	0	1	0	20	0	1	19	0	0
WA-dso-ulb	44	50	8	1	41	0	20	3	0	17	0	34	2	0	32	0	10
WA-ekp-reg	29	12	7	0	5	0	1	1	0	0	0	19	0	1	18	0	0
WA-ema-x-emai-reg	16	2	2	0	0	0	1	1	0	0	0	20	0	0	20	0	0
WA-en-ulb	24	2	1	1	0	0	0	0	0	0	0	34	0	1	33	0	0
WA-enb-x-kiptani-reg	9	28	3	0	25	0	1	0	0	1	0	13	0	2	11	0	6
WA-es-419-udb	15	22	3	0	19	0	1	1	0	0	0	32	0	2	30	0	6
WA-es-419-ulb	43	64	8	2	54	0	6	0	0	6	0	57	1	7	49	0	4
WA-fr-ulb	17	6	3	0	3	0	10	0	0	10	0	15	2	0	13	0	3
WA-gay-reg	19	39	2	1	36	0	2	1	0	1	0	20	0	2	18	0	10
WA-gaz-ulb	33	24	6	3	15	0	0	0	0	0	0	40	0	5	35	0	0
WA-geg-reg	22	23	3	0	20	0	4	0	0	4	0	13	0	3	10	0	0
WA-gey-reg	10	15	2	0	13	0	0	0	0	0	0	17	0	2	15	0	2
WA-gl-reg	10	10	2	0	8	0	0	0	0	0	0	23	1	1	21	0	0
WA-gnh-reg	21	23	3	0	20	0	0	0	0	0	0	18	0	2	16	0	0
WA-gog-reg	25	23	3	1	19	0	5	1	0	4	0	17	0	0	17	0	2
WA-gqa-x-kabinda-reg	18	24	3	2	19	0	3	1	0	2	0	9	0	0	9	0	0
WA-gu-udb	19	4	2	2	0	0	1	1	0	0	0	27	0	3	24	0	0
WA-gu-ulb	7	6	2	0	4	0	0	0	0	0	0	20	0	2	18	0	4
WA-gux-reg	7	1	0	0	1	0	0	0	0	0	0	13	0	0	13	0	0
WA-gux-x-gourmantche-reg	18	19	1	0	18	0	3	3	0	0	0	26	0	0	26	0	0
WA-ha-ulb	32	36	2	1	33	0	1	0	0	1	0	28	0	1	27	0	8
WA-hac-reg	9	31	2	0	29	0	1	0	0	1	0	36	1	2	33	0	2
WA-haq-reg	28	47	3	0	44	0	1	1	0	0	0	13	0	1	12	0	8
WA-hi-udb	18	20	3	0	17	0	1	1	0	0	0	161	0	4	157	0	2
WA-hi-ulb	21	75	2	2	71	0	0	0	0	0	0	80	0	2	78	0	0
WA-hi-x-waradhi-reg	11	28	2	0	26	0	8	1	0	7	0	18	0	0	18	0	2
WA-hke-x-bakobo-reg	26	25	6	0	19	0	1	0	0	1	0	32	0	1	31	0	6
WA-hts-reg	27	58	4	4	50	0	11	0	0	11	0	50	0	0	50	0	2
WA-ida-x-isukha-reg	14	41	3	0	38	0	3	0	0	3	0	29	0	4	25	0	8
WA-ida-x-tiriki-reg	22	35	7	1	27	0	3	0	0	3	0	31	3	0	28	0	0
WA-ihi-reg	19	49	3	0	46	0	2	0	0	2	0	36	0	0	36	0	2
WA-ilo-udb	34	20	2	0	18	0	0	0	0	0	0	39	0	1	38	0	6
WA-ilo-ulb	31	15	1	2	12	0	7	0	0	7	0	12	0	0	12	0	4
WA-ish-ulb	12	33	0	2	31	0	2	1	0	1	0	19	0	0	19	0	0
WA-isi-reg	13	28	3	0	25	0	0	0	0	0	0	18	0	0	18	0	4
WA-jid-reg	23	10	4	0	6	0	2	1	0	1	0	8	0	3	5	0	0
WA-jit-x-hambwe-reg	16	24	3	1	20	0	0	0	0	0	0	20	0	0	20	0	2
WA-jni-reg	13	15	1	0	14	0	1	1	0	0	0	8	0	0	8	0	5
WA-kan-x-koungaru-reg	32	31	3	2	26	0	23	0	0	23	0	31	0	2	29	0	2
WA-kas-reg	10	17	3	1	13	0	9	0	0	9	0	29	0	0	29	0	0
WA-kdc-reg	13	44	4	1	39	0	2	2	0	0	0	22	0	1	21	0	6
